student_id,exercise_ids,solving_times,results,community
0,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 24, 31, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 60, 61, 62, 63, 71, 73, 74]","[4112, 2047, 1547, 3596, 2488, 1054, 593, 5333, 2788, 5426, 6294, 1433, 1569, 6340, 3154, 5902, 4054, 698, 1127, 347, 965, 4483, 1537, 2573, 398, 3564, 4646, 5536, 975, 1604, 1119, 2421, 5360, 5530, 3567, 4836, 1597, 3041, 1773, 5292]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, True, True, True, False, True, True, False, True, True, True, True, True, False, False, True, False, False, False, True, True, True, True, True, True, False, False, True, True, True, True, True, False, True, False, False, True, True, True, True, True, True, True, True]",0
1,"[0, 1, 2, 3, 4, 54]","[5231, 2388, 2099, 4649, 3018, 4372]","[True, True, True, False, True, True, False, False, False, True]",3
2,"[1, 2, 3, 4, 11, 13, 18]","[3096, 2371, 5393, 4007, 3854, 3168, 4362]","[True, True, True, True, False, False, False, True, False, True, True, False, False]",3
3,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 21, 22, 24, 31, 35, 42, 43, 44, 47, 49, 55, 60, 61, 62, 63, 74]","[3088, 1250, 474, 2142, 1761, 4481, 642, 2926, 4163, 2871, 476, 789, 1839, 4698, 1662, 4132, 5619, 5407, 522, 1166, 2657, 421, 4195, 1564, 1950, 4117, 5298, 6301, 3698, 1535, 3560]","[True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False, False, False, True, True, True, True, False, True, False, False]",1
4,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 71, 72, 73, 74]","[2921, 962, 705, 4768, 2063, 783, 1040, 3569, 2842, 3728, 788, 866, 2723, 4182, 1119, 1179, 2538, 1808, 4139, 586, 723, 4916, 193, 620, 1703, 1104, 2214, 265, 1936, 4886, 508, 888, 921, 1358, 3645, 3728, 4988, 3952, 2843, 1731, 2632, 967, 3994, 1251, 2872, 601, 1788]","[False, True, True, False, False, False, True, False, True, False, False, False, True, False, True, True, False, False, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, False, True, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True]",0
5,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14]","[6042, 3266, 1620, 3822, 5306, 2189, 1196, 6336, 3379, 4284, 4649]","[False, True, False, True, True, True, True, True, True, False, False, True, True, False, False, False, True, False, True]",3
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 43, 44, 47, 49, 54, 55, 61, 62, 63]","[3106, 1509, 968, 2535, 1949, 1210, 607, 3233, 2603, 3587, 819, 1178, 1850, 4081, 4279, 4007, 3891, 4818, 4892, 634, 1129, 966, 1675, 735, 4665, 2137, 1748, 2386, 3822, 5398, 4807, 2331]","[True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, False, False, False, True, True, False, True, True, False, True, True]",1
7,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 49, 54, 55, 56, 59, 60, 61, 62, 63, 64, 73, 74]","[3691, 2200, 1588, 3313, 2607, 4403, 1600, 5802, 5746, 3880, 582, 739, 2655, 3566, 1504, 1742, 2963, 2323, 5243, 442, 833, 5238, 277, 687, 2106, 1090, 2293, 455, 3238, 5561, 1063, 1278, 825, 1763, 2758, 6523, 3416, 2061, 2432, 748, 4108, 3587, 2476]","[True, True, True, True, True, True, False, False, True, False, True, True, False, False, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True]",0
8,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 20, 21, 22, 31, 35, 38, 39, 41, 42, 43, 44, 45, 47, 49, 54, 55, 56, 61, 62, 63, 71, 73]","[5119, 3155, 2004, 5721, 5323, 1632, 806, 3620, 3973, 4147, 1641, 5216, 2066, 2944, 649, 655, 825, 2472, 4630, 1719, 613, 3216, 4548, 1822, 1134, 2579, 2423, 3143, 3969, 3701, 1841, 3198, 3434]","[False, True, False, False, True, False, False, True, False, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True, False, True, False, False, False, True, True, False, True, False, False, False, False, True, True, False, True, True, True, True, False, True, True, True, False, True, False, True, True, False, True, True]",0
9,"[1, 2, 4, 5, 7, 11, 13, 18, 31, 35, 42, 43, 47, 49, 54, 55, 61, 63, 73, 74]","[3969, 2540, 4870, 4536, 1404, 1977, 3364, 5521, 1955, 2753, 3710, 1081, 2367, 3650, 2496, 4229, 4710, 2275, 2827, 6004]","[True, True, True, True, False, False, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, False, True, False, True, False, True]",2
11,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 31, 35, 38, 39, 41, 42, 43, 47, 49, 54, 55, 56, 73]","[2741, 1531, 1226, 2342, 1926, 5368, 5358, 5409, 5393, 5766, 416, 687, 5379, 3671, 4648, 5016, 751, 1831, 2066, 2813, 3806, 3752, 624, 3744, 2479, 5165, 2775, 5503, 4978]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, False, True, True, False, True, False, False, False, False, False, True]",1
12,"[0, 1, 2, 3, 4, 5, 7, 11, 13, 21, 31, 43, 47]","[3641, 2023, 710, 2924, 2034, 3123, 720, 1164, 2254, 5164, 2343, 3074, 4860]","[True, False, False, True, True, True, True, False, True, True, False, False, False, False, True, False, False, True, True, False, True, True, True]",3
13,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 14, 18, 21, 24, 31, 35, 38, 39, 41, 43, 47, 49, 54, 55, 56, 61, 62, 63]","[3486, 2194, 914, 4335, 2098, 6105, 424, 4217, 2952, 663, 3553, 2305, 2194, 4753, 4371, 2482, 1946, 1467, 3391, 6260, 1828, 2793, 3510, 1784, 4364, 6476, 3848, 5658, 1403]","[True, False, True, True, True, True, True, False, False, False, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, False, False, True, False, False, True, True, True, False, False, True, False, False, False, False, True, False, True, True, False, True, False, True]",1
14,"[5, 7, 10, 11, 14, 18, 20, 21, 22, 31, 35, 39, 42, 43, 44, 47, 49, 54, 55, 56, 71, 73, 74]","[2087, 1508, 6259, 4580, 6464, 3276, 3102, 4115, 5592, 1136, 975, 3602, 4145, 1200, 4780, 1560, 1627, 2034, 3076, 5283, 3719, 3746, 5379]","[True, True, False, False, True, True, False, False, False, False, False, True, True, False, False, False, False, True, True, True, False, True, True, True, True, True, True, False, False, False, False, False, False, True, True, True, True, False, True, False, True, True, False, True]",3
15,"[0, 1, 2, 3, 4, 5, 7, 11, 13, 14, 18, 20, 21, 31, 35, 43, 47, 49, 54]","[4083, 1545, 1235, 2620, 2044, 3006, 446, 935, 1392, 3382, 3534, 4791, 5582, 970, 3051, 4521, 4452, 3261, 2884]","[True, True, True, True, True, True, False, False, True, True, False, True, True, True, True, False, False, True, True, True, False, True, False, True, True, False, True, False, False]",2
16,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 18, 31, 35, 38, 42, 43, 44, 49, 54, 56, 61, 62, 63, 73]","[5690, 4023, 2800, 4708, 4189, 1676, 471, 5072, 3870, 4331, 3520, 6343, 4053, 4681, 3229, 2526, 1065, 5671, 5559, 2611, 6508, 4054, 5154, 1232, 2185]","[False, True, False, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, False, False, False, True, False, False, True, False, True, True, False, True, True, True]",2
17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 71, 72, 73, 74]","[3148, 1208, 3573, 4145, 1890, 980, 539, 4002, 2422, 3899, 6055, 843, 1710, 4079, 1358, 3323, 4226, 6060, 5977, 812, 1224, 262, 736, 2929, 1202, 2072, 351, 6208, 4890, 5850, 1413, 1809, 967, 2836, 3057, 4387, 6596, 5056, 3004, 1226, 2025, 704, 4152, 2617, 5493, 1608, 3350]","[False, True, False, True, False, True, False, True, False, True, True, True, True, True, False, True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True, True, False, True, True, True, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True]",0
18,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 18, 20, 31, 35, 38, 39, 42, 43, 44, 47, 49, 54, 55, 56, 61, 62, 63, 71, 73]","[5139, 2715, 1823, 4322, 3298, 2159, 914, 6144, 1761, 2219, 5662, 2995, 5847, 1777, 2724, 2760, 4882, 3852, 690, 6026, 1722, 4137, 2115, 3629, 5547, 5303, 4842, 1597, 4817, 2549]","[False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, False, False, True, True, True, True, False, True, True, False, False, True, True, False, True, True, False, True, True, True, True]",1
19,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 18, 31, 35, 38, 39, 41, 42, 43, 47, 54, 55, 56, 61, 62, 63]","[4456, 2492, 1492, 4672, 3009, 3037, 1056, 3783, 3486, 3158, 3046, 4793, 5495, 3626, 1551, 1526, 4073, 4837, 759, 2715, 1689, 4917, 4673, 5552, 6167, 1826]","[True, True, True, False, True, True, True, False, True, True, True, False, False, False, False, False, False, True, True, False, False, True, False, False, True, False, True, False, False, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True, False, True]",2
20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 60, 61, 62, 63, 71, 73]","[4352, 1884, 1480, 4958, 2894, 1437, 728, 4360, 3570, 4923, 1346, 1893, 2124, 3357, 2379, 2964, 3830, 5293, 5138, 607, 1195, 904, 2887, 3915, 3340, 488, 4498, 5719, 6363, 1926, 1968, 1103, 3262, 4502, 4298, 5549, 3048, 964, 5596, 2048]","[True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True]",0
21,"[1, 2, 4, 5, 7, 9, 11, 13, 14, 15, 18, 31, 35, 38, 43, 47, 49, 54, 55, 61, 62, 63, 71, 73]","[5117, 5444, 6115, 2996, 2081, 6369, 1363, 2094, 4253, 5315, 3042, 2367, 4022, 3692, 1230, 4613, 5710, 2229, 3657, 4432, 5000, 3825, 6082, 3939]","[False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True]",2
22,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 71, 72, 73, 74]","[3323, 1245, 757, 3466, 2218, 1378, 738, 4986, 3011, 4910, 704, 932, 2254, 4063, 1490, 1855, 2832, 3133, 2716, 577, 954, 2396, 443, 720, 3931, 1264, 2702, 559, 2298, 4651, 4485, 1112, 1432, 642, 975, 1501, 5241, 4983, 2689, 2703, 1824, 2272, 3253, 5119, 2281, 4645, 1489, 5357]","[True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, False, True, False, True, True, True, True, True, False, True, False, True, True, False, True, True, True, False, True, True, True, True, True, True]",0
23,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 18, 38, 42, 43, 44, 46, 47, 55, 56, 59]","[4408, 2976, 2024, 3951, 2988, 1849, 852, 5706, 1913, 5235, 5271, 5029, 4293, 2445, 377, 2966, 4124, 816, 2483, 3858, 4700]","[False, False, True, False, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, False, False, True, False, False, False, True, True, True, True, True]",2
24,"[0, 1, 2, 3, 4, 5, 7, 11, 13, 18, 31, 42, 43, 47, 54, 55, 61, 62, 63, 73, 74]","[4825, 2316, 1689, 4206, 3032, 5564, 3975, 1683, 2637, 4857, 2061, 4372, 1139, 4009, 2988, 4330, 5465, 5844, 1757, 4261, 5546]","[True, True, True, True, True, False, False, True, True, True, False, True, True, False, False, True, False, False, False, False, True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]",2
25,"[1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 31, 35, 49, 54, 55, 57, 60, 61, 62, 63, 71, 73, 74]","[3205, 1906, 5902, 4140, 2161, 1960, 5076, 1878, 4478, 3414, 1782, 2586, 3357, 1698, 2760, 6434, 4958, 2356, 2921, 1160, 4281, 2310, 5301]","[True, True, True, False, True, False, False, False, False, False, True, True, True, True, False, True, False, False, True, False, False, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True]",2
26,"[31, 35, 38, 39, 49]","[3753, 4430, 3697, 4392, 5227]","[True, True, False, True, False, False, False, True, True, False]",3
27,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 41, 42, 43, 44, 46, 47, 49, 54, 55, 56, 57, 59, 71, 72, 73, 74]","[4199, 3078, 604, 5466, 3422, 3170, 427, 2690, 2365, 2942, 362, 518, 1338, 2284, 860, 3437, 2161, 3138, 2012, 474, 585, 760, 1911, 2981, 1251, 229, 5237, 4125, 487, 1110, 710, 1105, 1797, 4648, 6110, 5726, 5286, 813, 2405]","[True, False, False, False, False, True, True, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, True, True, False, False, True, False, True, False, False, True, True, True, False, False, False, True, True, True, False, False, True, False, False, True, True]",0
28,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 40, 41, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 71, 73]","[4339, 1980, 906, 4753, 2470, 1924, 4639, 5564, 6265, 3664, 2587, 1271, 3915, 4119, 1649, 4715, 3095, 4078, 2312, 499, 840, 312, 732, 2875, 1629, 1337, 694, 1336, 5156, 2876, 4980, 3704, 2899, 1777, 2464, 4302, 4921, 2763, 1265]","[True, True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, True]",0
29,"[0, 1, 2, 3, 4, 5, 7, 11, 13, 14, 18, 31, 35, 38, 39, 42, 43, 47, 49, 73]","[5064, 2230, 1599, 3403, 2602, 3254, 1212, 1750, 2564, 4941, 4635, 1840, 5724, 1972, 3297, 5538, 794, 3672, 6372, 3206]","[False, True, True, True, True, False, True, True, False, True, True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, False, False, True]",2
30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 21, 24, 31, 35, 42, 43, 44, 47, 49, 54, 55, 56, 60, 61, 62, 63, 71, 73]","[5282, 2487, 1795, 4353, 3180, 1505, 797, 4508, 3455, 4936, 845, 1250, 2168, 3803, 2236, 6517, 5005, 1442, 2353, 4328, 638, 6167, 2480, 3524, 1283, 2924, 4933, 6407, 4161, 5825, 1325, 3692, 1641]","[True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, False, False, False, True, True, True, True]",1
31,"[1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 31, 35, 38, 39, 41, 42, 43, 47, 54, 55, 56, 73, 74]","[3161, 3859, 5096, 3879, 2247, 1492, 5953, 2810, 4605, 5765, 2711, 6461, 1168, 2190, 5067, 4591, 735, 3065, 2641, 5137, 6153, 2588, 6459]","[False, False, False, False, False, True, False, True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, False, False, True, True, True, False, True, False, True, True, False, False, False, True, True, True]",2
32,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 24, 38, 39, 41, 42, 43, 44, 45, 46, 47, 54, 55, 56, 57, 59, 60, 61, 62, 63, 71, 72, 73, 74]","[1762, 873, 579, 2069, 1133, 859, 545, 3012, 2387, 3420, 623, 871, 1333, 2470, 2548, 3017, 55, 532, 4570, 2039, 317, 4759, 4222, 5822, 784, 1716, 2307, 3008, 3887, 4970, 5511, 3057, 3959, 1772, 2291, 6219, 1441, 3270]","[True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, False, False, False, True, True, True, False, True, False, True, False, True, True, True, True, True, True, False, False, True, False, True, True, True, False, False, False, True, False, True, True, True, False, False, False, False, True]",0
33,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 21, 24, 31, 35, 38, 39, 41, 42, 43, 44, 47, 49, 54, 55, 56, 71]","[5051, 2413, 1678, 4333, 3181, 1619, 924, 5561, 3446, 5998, 823, 1784, 5452, 4039, 5236, 6510, 5058, 2066, 2731, 1483, 3638, 5182, 4378, 648, 5816, 1648, 3865, 1395, 3121, 4615, 4643]","[True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True, True, True, False, True, False, False, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True]",1
34,"[0, 1, 2, 3, 4, 5, 7, 9, 13, 14, 20, 21, 31, 35, 38, 39, 42, 43, 47, 49, 55, 56, 61, 62, 63, 73]","[5613, 2997, 1611, 5790, 2816, 2316, 1477, 5499, 2516, 2986, 3727, 4496, 1420, 1891, 4174, 4406, 5014, 1382, 2639, 2515, 5701, 6447, 4059, 5224, 4385, 4807]","[False, True, False, True, True, False, True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False, False, True, True, True, True, False, False, False, True, True, True, False, False, False, True, True, True, False, False, True]",2
35,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 31, 35, 38, 39, 41, 42, 43, 44, 47, 49, 54, 55, 56, 57, 60, 61, 62, 63, 64, 71, 73, 74]","[4061, 2337, 1494, 3602, 2802, 1248, 911, 3518, 2804, 4874, 772, 1191, 2224, 4846, 1533, 6331, 5281, 6001, 561, 888, 1780, 2311, 3022, 3046, 597, 4352, 1142, 1310, 1750, 2559, 3503, 5071, 4093, 2622, 2922, 1189, 5872, 2720, 1696, 4287]","[False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False]",0
36,"[1, 2, 4, 5, 11, 13, 18, 24, 38, 39, 41, 42, 43, 47]","[3926, 3910, 4017, 2473, 1538, 2059, 2427, 4280, 1281, 2992, 4206, 3574, 915, 2829]","[False, False, False, False, False, True, True, True, False, False, True, False, False, False, True, True, True, True, False, True, True, False, True, True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",3
37,"[0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 14, 15, 18, 21, 22, 24, 31, 35, 39, 42, 43, 44, 45, 47, 49, 54, 55, 56, 61, 62, 63, 71, 73]","[4135, 1591, 1009, 2862, 2566, 2573, 3969, 6067, 4404, 984, 1331, 6195, 4756, 6032, 4647, 6200, 5113, 955, 1361, 1634, 3282, 1016, 4905, 5911, 2530, 2762, 1034, 5412, 5959, 3072, 3611, 1809, 6370, 4527]","[True, True, False, True, True, True, False, False, False, False, True, False, True, True, False, True, False, True, False, False, True, True, False, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True]",1
38,"[1, 2, 4, 5, 7, 9, 11, 13, 18, 31, 35, 38, 39, 41, 42, 43, 47, 49, 54, 55, 56, 57, 59, 60, 61, 62, 63, 71, 73, 74]","[3703, 3038, 4639, 2207, 1073, 6074, 2062, 3218, 4707, 1009, 1582, 1168, 1745, 2535, 2317, 302, 815, 2202, 1491, 2412, 5699, 5161, 6173, 4880, 2978, 4178, 1589, 2670, 1470, 4473]","[True, True, True, False, True, True, False, False, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, False, True, True, False, True, True, True, True, True, True, False, False, True]",1
40,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 24, 31, 35, 38, 39, 41, 42, 43, 44, 47, 49, 54, 55, 56, 60, 61, 62, 63, 71, 73]","[3980, 1800, 1334, 4661, 2269, 1196, 616, 6308, 3537, 4671, 578, 803, 1763, 3581, 3533, 4906, 459, 976, 4611, 4632, 4888, 3984, 3970, 4332, 4192, 1916, 5352, 4067, 5267, 3760, 2311, 2763, 1013, 4871, 4355]","[False, False, True, False, True, True, False, True, False, True, True, True, True, True, False, False, True, False, False, False, False, False, False, True, True, True, False, False, True, True, True, True, True, True, False, False, True, True, False, False, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, False, False, False, False, False, False, False, True, True]",0
41,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 31, 35, 39, 43, 45, 49, 54, 71, 73]","[4482, 1779, 1251, 4204, 2175, 1285, 656, 3524, 2704, 5746, 1950, 1582, 2720, 1063, 490, 5999, 3379, 1476, 5332, 2893]","[True, True, True, False, False, False, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, False, True, True, True, False, False, False, True, True]",3
42,"[5, 7, 11, 13, 14, 18, 38, 39, 42, 43, 44, 47, 54, 55, 56, 59, 73, 74]","[2696, 1187, 1923, 2587, 2531, 3506, 2247, 3140, 2323, 410, 2934, 1238, 5775, 1686, 3682, 5045, 3675, 5152]","[True, False, True, True, False, False, False, True, True, False, True, True, True, False, True, True, True, True, False, False, False, True, False, True, True, True, False, False, False, False, False, True, True]",2
43,"[0, 1, 2, 4, 5, 7, 9, 11, 13, 18, 21, 24, 31, 35, 38, 39, 49, 54, 55, 60, 62, 63, 73, 74]","[5425, 2865, 2368, 3269, 1486, 1153, 5839, 721, 1176, 2711, 5613, 5587, 1698, 3052, 1995, 2664, 3806, 1838, 3226, 4814, 3355, 1934, 2151, 3706]","[False, True, True, True, False, False, False, True, False, False, True, True, False, False, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, False, False, True, False, True, False, False, True, False, False, True, True]",2
44,"[0, 1, 2, 3, 4, 7, 8, 9, 14, 38, 39, 41, 54, 55, 56, 71, 73]","[4236, 2525, 2173, 3588, 2894, 592, 5873, 4356, 2826, 27, 711, 4315, 2274, 4762, 4595, 4805, 2805]","[False, True, True, True, True, True, True, False, False, False, False, False, True, False, True, True, True, True, False, True, True, False, True, True, False, True, True]",3
45,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 40, 41, 42, 43, 44, 46, 47, 49, 54, 55, 56, 57, 60, 61, 62, 63, 71, 72, 73, 74]","[2756, 773, 485, 1963, 1124, 987, 577, 3247, 2652, 3610, 769, 915, 1345, 3620, 1459, 2444, 3337, 4161, 4075, 408, 1040, 450, 891, 2865, 1303, 2744, 604, 3663, 6075, 1273, 1799, 1492, 2124, 2923, 5030, 3938, 2058, 3293, 864, 3316, 6416, 1847, 4550]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, False, True, True, True, False, False, False, False, True, True, True, True, True, True]",0
47,"[0, 1, 2, 3, 4, 5, 7, 11, 13, 14, 18, 38, 39, 42, 43, 44, 47, 54, 55, 56]","[4752, 1718, 1310, 3317, 2368, 2587, 1073, 2025, 1883, 4218, 2559, 822, 5561, 6477, 1231, 5837, 2523, 2106, 4797, 4399]","[True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, True, True, False, True, False, True, False, False]",2
48,"[5, 7, 9, 11, 13, 14, 31, 35, 43, 47, 49, 63, 73]","[2635, 1773, 6344, 2444, 4882, 4011, 1578, 2646, 1568, 3700, 3615, 1839, 3500]","[True, True, True, True, True, True, True, True, True, True, True, True, True]",3
